title,author,length
1. The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
2. Oath and Honor,By: Liz Cheney,Length: 12 hrs and 14 mins
3. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
4. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
5. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
6. Defiant,By: Brandon Sanderson,Length: 13 hrs and 49 mins
7. He Who Fights with Monsters 10,"By: Shirtaloon, Travis Deverell",Length: 25 hrs and 18 mins
8. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
"9. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
10. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
11. Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins
12. Mockingjay,By: Suzanne Collins,Length: 11 hrs and 19 mins
13. Endgame,By: Omid Scobie,Length: 14 hrs and 2 mins
14. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
15. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
16. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
17. My Name Is Barbra,By: Barbra Streisand,Length: 48 hrs and 14 mins
18. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
19. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
20. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
21. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
22. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
23. The Edge,By: David Baldacci,Length: 11 hrs and 45 mins
24. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
25. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
26. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
27. Resurrection Walk,By: Michael Connelly,Length: 10 hrs and 30 mins
