user,text
@Support,"oi brasil! creator subscriptions and ad revenue sharing are now rolling out, so you can get paid to post"
@0xLuca68,"I'm a user of premium blue tick service. It's been 6 days since I changed my avatar, but the blue-tick still hasn't reappeared. Help me"
@AutisticJW,Well unless they decide to limit your tech with no possibility of appeal.
@tndlawal,Views are glitching
@PajaritoTimes,Great! Aí sim!
@PajaritoTimes,What about Mexico?
@ShaunG,Nice
@MominaReal,Want to know how we get payment from @X if @stripe is not support our country
@stripesupport,"Hey Momina—Stripe supports Cross-border payouts for all countries listed in this link: https://stripe.com/docs/connect/cross-border-payouts…. If you have any additional questions, we've kept our DM open for you."
@abassuachie,"Before I purchased my verified blue checkmark, I was receiving significant engagement and impressions per tweet, but things changed after I subscribed. What could be the cause?"
@DarthJML,@JPLFR80 paid to post pups
@Mrvanthien,great to earn
@ernkrum,Ole Brazil
@internationaln_,My account was targeted how can I get the proof to you to investigate @international0n
@internationaln_,There is a Machine that is directed at Christian’s and people that share the truth. They also work here on x but @X @Support refuses to do anything about it. @international0n was targeted I have the proof but they refuse to investigate.
@mockingbird9222,How do I pay for Blue Check Premium? Have been trying to pay for ~3/4 weeks thru the icons you keep sending to my account page. Your X icon in left menu bar w/Highlights acct page menu bar addition does not work >does not carry thru to payment/coding defective. Please assist.
@keybrackson,@swiftlycline queeen
@MOHAPPENING,hi there. still in appeal jail over a meme. still a paying customer. i'm paying to be held hostage over a meme. do i need to pay ANOTHER 8 bucks? :D and then subscribe to @elonmusk ?
@Sad_Pho,"awesome, who should i follow?"
@APEXPENNYSTOCKS,Not a vad view count...for a post
@ElonMuskAOC,Exciting news!
@vinnitec,I’m waiting for this forever. Can’t wait.
@leonardo1opes,Pena que não funciona...
@iannzits,YASSSSSSS
@liz__rainbow,What is weong with X deleting my DMs and a post? I need a solution.
@MichelleWhitzel,Still waiting in America for the creator subscription to be approved.
@misteriouspavao,Sim já está @Support
@Shotgunhunter1,"Yay, that's awesome!"
@bielconn,"They're going to pick a fight with big people... it's going to be complicated there, worse than many people are going to get corrupted, and the next day they lose everything to the boss of our country..."
@hashjenni,Wow thanksss
@introvertsmemes,I really need your help regarding to this!! Case #0341191819
@chefdangalhardo,
@aroflip,Let’s go Brazil!
@b_gardens1,"Hello.. Please look into verifying my account, as it has been delayed for a long time. Thank you"
@timenotspace,hi how long does the subscription review process take ? i'm US based
@DefecatingB,"Dear @Support , Brazil is in a period of censorship and political persecution. What is the guarantee that user data will be protected?"
Memecoin| Avive Citizen @IDriss,Who vietnamse
@StefanyJuan2000,"Hello, kind regards, I am writing to you because for a week my account has not had the same visibility as before. I would like to know why? Thank you very much, I look forward to your promptest response @Support @StefanyJuan2000"
@realCarola2Hope,How about Venezuela?
@diegodeabreu,"I need help please. I try for 3 weeks contact, for change my home country on stripe express account without any response."
@mspbra,"Hello X, I'm having problems integrating X/Stripe. I can only create an account for the country Brunei and cannot change it. I've already contacted Stripe and they told me that only you (X) can delete the account via API, so that I can create a new one from scratch. I…"
@Banacubana,My Post is invisible Please release my account from shadow ban
@sammyscottt,Brazil on.
@BronxGal62,I request monetization review Weeks ago and I’m still waiting for a review decision.
@OscarEnjoylife,yay
@theamrishkumar,Oho
@theamrishkumar,Congratulations for this opportunity.
@theamrishkumar,Congratulations
@theamrishkumar,I really appreciate it
@swagzee_1,"Hi @Support , I'm encountering problems with my account. I have a suspicion that I could be under a ghost ban, as my responses appear to be deboosted. Can you kindly investigate this and offer some help? Appreciate it!"
@Jeeanzito23,"can you help me with a question? I accidentally filled in my country of birth wrongly and due to this I am unable to enter the correct bank information and also my social security details. I put that I was born in the United States, when in fact I was born in Brazil"
@Dr_yosou,I didn't do anything wrong. Please fix the search van
@Dr_yosou,I didn't do anything wrong. Please fix the search van お願いします。
@Dr_yosou,早くサーチバン直してください
@tools4cydia,
@lordofparis,Hurrah! What about the UK?
@FellowNick,Review my subscription application please.
@kenechi_ken,It’s obvious that we all going to make it in this app.
@GelinskiRodrigo,I made my request and still haven't received a response
@DomSophiaDelRey,"Why I'm always in shadowban? I paid for 1 year and I have really an horrible service. Girls that don't have the blue check gets thousands of followers in a few months, and I get followers but the number on my profile doesn't go up! Why no one fix this? I already tried to contact…"
@Gorgeous_MinO,Please unlock my account. A lot of people aren't getting mentions and retweets. Please solve the problem. Please cancel the searchban. Please quickly.
@Gorgeous_MinO,I have never violated the rules of Twitter. It seems that the account has been suspended due to a system error. Please check and unsuspend my account.
@Gorgeous_MinO,Please unlock my account. A lot of people aren't getting mentions and retweets. Please solve the problem. Please cancel the searchban.
@Gorgeous_MinO,I didn't violate Twitter's operating principles. It seems to have been temporarily suspended due to a Twitter error. I want you to check and unlock my account.
@SeungXAi,Go
@ByeonChansoo,Obrigado 𝕏!
@LaughAlchemy,@Support i recently haven’t seen any ad on my post. Can you please check this? Is there any bugs now? Thank you !
@TraderXai,Can you fix my account Ads ? I don’t see any Ads on my account.
@GustavoBordeaux,Empresários precisam contratar gente qualificada para atuar no marketing utilizando o algoritmo no Brasil. Está uma bagunça.
@thephononaut,"Is it common to shell out for the check, see immediate benefit in terms of impression volume, and then a sharp curtailing of this reach after hitting tens/hundreds of thousand impressions a day? It would be nice to see some pay, but this is starting to feel like a bait and switch"
@ComixVillain,I got skipped during this last payout
@shahvez02342214,And what is the conditions apart from blue tick
@the3rdeye_view,#Congratulations #Brazil
@TrollColors,"TrollColors Original Content produced by Mathematica: Mathematica interface for X blocked, can't post via same; If can't post content can't monetize content. Fix Appreciated: Am generating content for X with Mathematica; Not pulling-analyzing X data via Mathematica."
@renahangil,@Support amazing news!!!
@thousifziya,Finalmente! This is fantastic news for Brazilian creators! Time to let creativity shine and get rewarded for it. Obrigado for recognizing the talent here! #BrasilCriativo #GanharPostando
@FL0TUS__,You guys have had me waiting 2 weeks for my sub application :(
@Contagious_Punk,I’ve been excited and still waiting on my subscription application to be reviewed. I applied when it was first mentioned and got an email inviting me to do so. Hope this goes quickly
